pm25,pm1,pm10,battery,longitude,latitude,timestamp
58,44,64,18,77.5876494,12.9925458,2018-01-22T08:53:43.000Z
58,44,64,18,77.5876494,12.9925458,2018-01-22T08:53:45.000Z
58,44,64,18,77.5874408,12.9925656,2018-01-22T08:53:49.000Z
59,44,66,18,77.5874408,12.9925656,2018-01-22T08:53:52.000Z
59,44,66,18,77.5874408,12.9925656,2018-01-22T08:53:56.000Z
59,44,66,18,77.5874408,12.9925656,2018-01-22T08:53:59.000Z
59,44,66,18,77.5875191,12.992183,2018-01-22T08:54:02.000Z
58,44,64,18,77.5875191,12.992183,2018-01-22T08:54:06.000Z
57,43,63,18,77.5875191,12.992183,2018-01-22T08:54:09.000Z
56,42,62,18,77.5875191,12.992183,2018-01-22T08:54:12.000Z
55,41,61,18,77.5875191,12.992183,2018-01-22T08:54:17.000Z
55,41,61,18,77.5874072,12.9925309,2018-01-22T08:54:19.000Z
54,41,60,18,77.5874072,12.9925309,2018-01-22T08:54:23.000Z
54,41,60,18,77.5874072,12.9925309,2018-01-22T08:54:26.000Z
55,41,61,18,77.5874072,12.9925309,2018-01-22T08:54:29.000Z
56,42,62,18,77.5872729,12.9924803,2018-01-22T08:54:33.000Z
57,43,63,18,77.5872729,12.9924803,2018-01-22T08:54:37.000Z
59,44,66,18,77.5872729,12.9924803,2018-01-22T08:54:41.000Z
61,46,68,18,77.5872729,12.9924803,2018-01-22T08:54:44.000Z
62,47,69,18,77.5872729,12.9924803,2018-01-22T08:54:47.000Z
60,45,67,18,77.5871386,12.9923413,2018-01-22T08:55:01.000Z
58,44,64,18,77.5876494,12.9925458,2018-01-22T08:55:04.000Z
57,43,63,18,77.5876494,12.9925458,2018-01-22T08:55:08.000Z
55,41,61,18,77.5876494,12.9925458,2018-01-22T08:55:11.000Z
53,40,59,18,77.5876494,12.9925458,2018-01-22T08:55:14.000Z
51,38,57,18,77.5870491,12.9920058,2018-01-22T08:55:18.000Z
50,38,56,18,77.5870491,12.9920058,2018-01-22T08:55:21.000Z
50,38,56,18,77.5870491,12.9920058,2018-01-22T08:55:24.000Z
50,38,56,18,77.5870491,12.9920058,2018-01-22T08:55:29.000Z
50,38,56,18,77.5870491,12.9920058,2018-01-22T08:55:31.000Z
51,38,57,18,77.5873401,12.9921965,2018-01-22T08:55:36.000Z
53,40,59,18,77.5873401,12.9921965,2018-01-22T08:55:41.000Z
