pm25,pm1,pm10,battery,longitude,latitude,timestamp
24,18,26,18,77.6026855,12.9748536,2018-01-18T11:03:53.000Z
24,18,26,18,77.6026855,12.9748536,2018-01-18T11:03:55.000Z
30,22,33,18,77.6027148,12.9755896,2018-01-18T11:05:00.000Z
24,18,26,18,77.6027002,12.9752216,2018-01-18T11:06:35.000Z
26,19,29,18,77.6027148,12.9755896,2018-01-18T11:08:17.000Z
51,38,57,18,77.5874629,12.9940524,2018-01-22T09:40:30.000Z
43,32,48,18,77.6000522,12.9730038,2018-01-22T10:59:36.000Z
30,22,33,18,77.6000966,12.9729941,2018-01-22T11:04:25.000Z
38,28,42,18,77.6000966,12.9729941,2018-01-22T11:06:27.000Z
46,34,51,18,77.5902243,13.0285319,2018-01-22T14:45:44.000Z
46,34,51,18,77.5902243,13.0285319,2018-01-22T14:45:48.000Z
45,34,50,18,77.5902243,13.0285319,2018-01-22T14:45:51.000Z
45,34,50,18,77.5902243,13.0285319,2018-01-22T14:45:54.000Z
45,34,50,18,77.5902243,13.0285319,2018-01-22T14:45:58.000Z
45,34,50,18,77.5902243,13.0285319,2018-01-22T14:46:01.000Z
46,34,51,18,77.5902243,13.0285319,2018-01-22T14:46:04.000Z
46,34,51,18,77.5900312,13.0285553,2018-01-22T14:46:08.000Z
47,35,52,18,77.5900312,13.0285553,2018-01-22T14:46:11.000Z
47,35,52,18,77.5900312,13.0285553,2018-01-22T14:46:15.000Z
47,35,52,18,77.5900312,13.0285553,2018-01-22T14:46:18.000Z
47,35,52,18,77.5900312,13.0285553,2018-01-22T14:46:21.000Z
47,35,52,18,77.5900312,13.0285553,2018-01-22T14:46:25.000Z
46,34,51,18,77.5900312,13.0285553,2018-01-22T14:46:28.000Z
46,34,51,18,77.5900312,13.0285553,2018-01-22T14:46:31.000Z
45,34,50,18,77.5900312,13.0285553,2018-01-22T14:46:35.000Z
45,34,50,18,77.5900841,13.028473,2018-01-22T14:46:38.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:48:11.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:49:45.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:49:48.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:49:52.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:49:55.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:49:58.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:02.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:05.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:09.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:12.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:50:15.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:50:19.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:50:22.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:25.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:29.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:50:32.000Z
44,33,49,18,77.5900841,13.028473,2018-01-22T14:50:36.000Z
44,33,49,18,77.5900841,13.028473,2018-01-22T14:50:39.000Z
45,34,50,18,77.5900841,13.028473,2018-01-22T14:50:42.000Z
46,34,51,18,77.5900841,13.028473,2018-01-22T14:50:46.000Z
46,34,51,18,77.5900841,13.028473,2018-01-22T14:50:50.000Z
46,34,51,18,77.5900841,13.028473,2018-01-22T14:50:54.000Z
46,34,51,18,77.5900841,13.028473,2018-01-22T14:50:57.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:51:07.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:51:10.000Z
41,31,45,18,77.5900841,13.028473,2018-01-22T14:51:14.000Z
41,31,45,18,77.5900841,13.028473,2018-01-22T14:51:17.000Z
40,30,44,18,77.5900841,13.028473,2018-01-22T14:51:21.000Z
40,30,44,18,77.5900841,13.028473,2018-01-22T14:51:24.000Z
41,31,45,18,77.5900841,13.028473,2018-01-22T14:51:27.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:51:31.000Z
42,31,47,18,77.5900841,13.028473,2018-01-22T14:51:34.000Z
43,32,48,18,77.5900841,13.028473,2018-01-22T14:51:38.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:51:41.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:51:45.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:51:48.000Z
42,31,47,18,77.5900844,13.0284765,2018-01-22T14:51:51.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:51:55.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:51:58.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:52:02.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:52:05.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:52:08.000Z
42,31,47,18,77.5900844,13.0284765,2018-01-22T14:52:12.000Z
42,31,47,18,77.5900844,13.0284765,2018-01-22T14:52:15.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:52:18.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:52:22.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:25.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:28.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:32.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:35.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:39.000Z
44,33,49,18,77.5900844,13.0284765,2018-01-22T14:52:42.000Z
43,32,48,18,77.5900844,13.0284765,2018-01-22T14:52:45.000Z
42,31,47,18,77.5900844,13.0284765,2018-01-22T14:52:49.000Z
42,31,47,18,77.5900844,13.0284765,2018-01-22T14:52:52.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:52:55.000Z
41,31,45,18,77.5900844,13.0284765,2018-01-22T14:52:59.000Z
48,36,53,18,77.5901606,13.0285788,2018-01-22T17:17:47.000Z
49,37,54,18,77.5901606,13.0285788,2018-01-22T17:17:51.000Z
48,36,53,18,77.5901606,13.0285788,2018-01-22T17:17:54.000Z
49,37,54,18,77.5901606,13.0285788,2018-01-22T17:17:58.000Z
49,37,54,18,77.5901606,13.0285788,2018-01-22T17:18:01.000Z
35,26,39,18,77.5731897,12.9171963,2018-01-23T11:09:15.000Z
33,25,36,18,77.5708691,12.9296567,2018-01-23T12:02:54.000Z
44,33,49,18,77.569613,12.9279879,2018-01-23T12:03:54.000Z
47,35,52,18,77.5683569,12.9263191,2018-01-23T12:04:56.000Z
111,84,124,18,77.5890926,12.9945534,2018-01-24T08:04:43.000Z
102,77,114,18,77.5872826,12.9874737,2018-01-24T08:05:36.000Z
59,44,66,18,77.6022339,12.9956614,2018-01-24T09:14:37.000Z
63,47,70,18,77.6077528,12.9965661,2018-01-24T09:15:51.000Z
68,51,76,18,77.6077528,12.9965661,2018-01-24T09:17:13.000Z
58,44,64,18,77.6054674,12.9927867,2018-01-24T09:18:38.000Z
73,55,81,18,77.6123054,12.9911192,2018-01-24T09:20:24.000Z
70,53,78,18,77.6123054,12.9911192,2018-01-24T09:20:26.000Z
72,54,80,18,77.6122103,12.9950874,2018-01-24T09:20:53.000Z
68,51,76,18,77.6108258,12.9953637,2018-01-24T09:21:27.000Z
77,58,86,18,77.6108258,12.9953637,2018-01-24T09:22:57.000Z
54,41,60,18,77.6108258,12.9953637,2018-01-24T09:24:20.000Z
60,45,67,18,77.6138668,12.9965522,2018-01-24T09:25:29.000Z
57,43,63,18,77.614681,12.9966054,2018-01-24T09:27:04.000Z
70,53,78,18,77.6144296,12.9925168,2018-01-24T09:28:26.000Z
69,52,77,18,77.5884486,12.9928408,2018-01-24T09:28:39.000Z
58,44,64,18,77.5884486,12.9928408,2018-01-24T09:28:49.000Z
41,31,45,18,77.5884486,12.9928408,2018-01-24T09:29:26.000Z
50,38,56,18,77.5884486,12.9928408,2018-01-24T09:30:55.000Z
56,42,62,18,77.5884486,12.9928408,2018-01-24T09:32:02.000Z
58,44,64,18,77.6118617,12.9803067,2018-01-24T09:33:04.000Z
46,34,51,18,77.6099328,12.980387,2018-01-24T09:34:35.000Z
52,39,58,18,77.6099328,12.980387,2018-01-24T09:36:00.000Z
47,35,52,18,77.6104387,12.9759164,2018-01-24T09:37:05.000Z
39,29,43,18,77.6101057,12.974762,2018-01-24T09:39:46.000Z
47,35,52,18,77.6101057,12.974762,2018-01-24T09:41:14.000Z
45,34,50,18,77.6101057,12.974762,2018-01-24T09:42:31.000Z
47,35,52,18,77.5884486,12.9928408,2018-01-24T09:43:40.000Z
45,34,50,18,77.5884486,12.9928408,2018-01-24T09:43:43.000Z
40,30,44,18,77.607545,12.9707819,2018-01-24T09:44:41.000Z
41,31,45,18,77.607545,12.9707819,2018-01-24T09:45:41.000Z
41,31,45,18,77.6072297,12.9695745,2018-01-24T09:46:43.000Z
50,38,56,18,77.607545,12.9707819,2018-01-24T09:49:06.000Z
43,32,48,18,77.5884486,12.9928408,2018-01-24T09:50:25.000Z
43,32,48,18,77.5884486,12.9928408,2018-01-24T09:51:25.000Z
40,30,44,18,77.5884486,12.9928408,2018-01-24T09:54:16.000Z
40,30,44,18,77.5884486,12.9928408,2018-01-24T09:55:34.000Z
44,33,49,18,77.5884486,12.9928408,2018-01-24T09:57:08.000Z
42,31,47,18,77.607545,12.9707819,2018-01-24T09:58:13.000Z
40,30,44,18,77.607545,12.9707819,2018-01-24T09:59:10.000Z
47,35,52,18,77.6072297,12.9695745,2018-01-24T10:00:23.000Z
44,33,49,18,77.607545,12.9707819,2018-01-24T10:01:47.000Z
43,32,48,18,77.607545,12.9707819,2018-01-24T10:02:56.000Z
44,33,49,18,77.607545,12.9707819,2018-01-24T10:04:24.000Z
46,34,51,18,77.607545,12.9707819,2018-01-24T10:05:49.000Z
73,55,81,18,77.5886564,12.99036,2018-01-27T04:45:08.000Z
294,223,329,18,77.5918517,12.9884701,2018-01-27T04:46:42.000Z
83,63,92,18,77.5928516,12.9853519,2018-01-27T04:47:58.000Z
79,60,88,18,77.5928516,12.9853519,2018-01-27T04:50:04.000Z
66,50,73,18,77.6067013,12.972229,2018-01-27T05:34:28.000Z
70,53,78,18,77.6070885,12.9713622,2018-01-27T05:35:38.000Z
69,52,77,18,77.6070885,12.9713622,2018-01-27T05:35:52.000Z
69,52,77,18,77.6070885,12.9713622,2018-01-27T05:35:55.000Z
57,43,63,18,77.607105,12.9714714,2018-01-27T05:36:53.000Z
56,42,62,18,77.6070721,12.971253,2018-01-27T05:38:21.000Z
61,46,68,18,77.6067548,12.9721912,2018-01-27T05:39:25.000Z
64,48,71,18,77.6070721,12.971253,2018-01-27T05:40:47.000Z
62,47,69,18,77.6070721,12.971253,2018-01-27T05:41:59.000Z
