pm25,pm1,pm10,battery,longitude,latitude,timestamp
80,60,89,18,77.5875527,12.9938735,2018-01-22T09:05:06.000Z
79,60,88,18,77.5875527,12.9938735,2018-01-22T09:05:09.000Z
79,60,88,18,77.5875527,12.9938735,2018-01-22T09:05:13.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:16.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:19.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:22.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:26.000Z
77,58,86,18,77.5875527,12.9938735,2018-01-22T09:05:29.000Z
77,58,86,18,77.5875527,12.9938735,2018-01-22T09:05:33.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:36.000Z
78,59,87,18,77.5875527,12.9938735,2018-01-22T09:05:39.000Z
79,60,88,18,77.5875527,12.9938735,2018-01-22T09:05:43.000Z
80,60,89,18,77.5875527,12.9938735,2018-01-22T09:05:46.000Z
80,60,89,18,77.5875527,12.9938735,2018-01-22T09:05:50.000Z
81,61,90,18,77.5875527,12.9938735,2018-01-22T09:05:53.000Z
81,61,90,18,77.5875527,12.9938735,2018-01-22T09:05:56.000Z
82,62,91,18,77.5875527,12.9938735,2018-01-22T09:06:00.000Z
83,63,92,18,77.5875527,12.9938735,2018-01-22T09:06:03.000Z
66,50,73,18,77.58612,12.993098,2018-01-22T09:07:19.000Z
67,50,75,18,77.58612,12.993098,2018-01-22T09:07:22.000Z
68,51,76,18,77.588269,12.9939081,2018-01-22T09:07:25.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:28.000Z
70,53,78,18,77.588269,12.9939081,2018-01-22T09:07:32.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:39.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:42.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:45.000Z
68,51,76,18,77.588269,12.9939081,2018-01-22T09:07:49.000Z
66,50,73,18,77.588269,12.9939081,2018-01-22T09:07:52.000Z
65,49,72,18,77.588269,12.9939081,2018-01-22T09:07:55.000Z
63,47,70,18,77.588269,12.9939081,2018-01-22T09:07:59.000Z
61,46,68,18,77.588269,12.9939081,2018-01-22T09:08:02.000Z
60,45,67,18,77.588269,12.9939081,2018-01-22T09:08:05.000Z
60,45,67,18,77.588269,12.9939081,2018-01-22T09:08:08.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:12.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:16.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:21.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:22.000Z
60,45,67,18,77.588269,12.9928483,2018-01-22T09:08:25.000Z
60,45,67,18,77.588269,12.9928483,2018-01-22T09:08:29.000Z
66,50,73,18,77.58612,12.993098,2018-01-22T09:07:19.000Z
67,50,75,18,77.58612,12.993098,2018-01-22T09:07:22.000Z
68,51,76,18,77.588269,12.9939081,2018-01-22T09:07:25.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:28.000Z
70,53,78,18,77.588269,12.9939081,2018-01-22T09:07:32.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:39.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:42.000Z
69,52,77,18,77.588269,12.9939081,2018-01-22T09:07:45.000Z
68,51,76,18,77.588269,12.9939081,2018-01-22T09:07:49.000Z
66,50,73,18,77.588269,12.9939081,2018-01-22T09:07:52.000Z
65,49,72,18,77.588269,12.9939081,2018-01-22T09:07:55.000Z
63,47,70,18,77.588269,12.9939081,2018-01-22T09:07:59.000Z
61,46,68,18,77.588269,12.9939081,2018-01-22T09:08:02.000Z
60,45,67,18,77.588269,12.9939081,2018-01-22T09:08:05.000Z
60,45,67,18,77.588269,12.9939081,2018-01-22T09:08:08.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:12.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:16.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:21.000Z
59,44,66,18,77.588269,12.9928483,2018-01-22T09:08:22.000Z
60,45,67,18,77.588269,12.9928483,2018-01-22T09:08:25.000Z
60,45,67,18,77.588269,12.9928483,2018-01-22T09:08:29.000Z
