pm25,pm1,pm10,battery,longitude,latitude,timestamp
46,34,51,18,0,0,2018-01-22T08:08:04.000Z
45,34,50,18,0,0,2018-01-22T08:08:07.000Z
46,34,51,18,0,0,2018-01-22T08:08:11.000Z
46,34,51,18,0,0,2018-01-22T08:08:14.000Z
46,34,51,18,0,0,2018-01-22T08:08:17.000Z
47,35,52,18,0,0,2018-01-22T08:08:21.000Z
48,36,53,18,0,0,2018-01-22T08:08:24.000Z
48,36,53,18,0,0,2018-01-22T08:08:28.000Z
49,37,54,18,0,0,2018-01-22T08:08:31.000Z
50,38,56,18,0,0,2018-01-22T08:08:34.000Z
50,38,56,18,0,0,2018-01-22T08:08:38.000Z
52,39,58,18,0,0,2018-01-22T08:08:41.000Z
52,39,58,18,0,0,2018-01-22T08:08:44.000Z
52,39,58,18,0,0,2018-01-22T08:08:48.000Z
52,39,58,18,77.5884452,12.9938663,2018-01-22T08:08:51.000Z
52,39,58,18,77.5884452,12.9938663,2018-01-22T08:08:55.000Z
51,38,57,18,77.5884452,12.9938663,2018-01-22T08:08:58.000Z
51,38,57,18,77.5884747,12.9938249,2018-01-22T08:09:01.000Z
49,37,54,18,77.5885066,12.9940244,2018-01-22T08:10:07.000Z
49,37,54,18,77.5885066,12.9940244,2018-01-22T08:10:11.000Z
48,36,53,18,77.5885066,12.9940244,2018-01-22T08:10:14.000Z
48,36,53,18,77.5885066,12.9940244,2018-01-22T08:10:17.000Z
48,36,53,18,77.5885066,12.9940244,2018-01-22T08:10:20.000Z
49,37,54,18,77.5885066,12.9940244,2018-01-22T08:10:24.000Z
49,37,54,18,77.5885066,12.9940244,2018-01-22T08:10:27.000Z
50,38,56,18,77.5885066,12.9940244,2018-01-22T08:10:30.000Z
51,38,57,18,77.5884723,12.9939856,2018-01-22T08:10:34.000Z
51,38,57,18,77.5884723,12.9939856,2018-01-22T08:10:38.000Z
52,39,58,18,77.5884723,12.9939856,2018-01-22T08:10:41.000Z
52,39,58,18,77.5884723,12.9939856,2018-01-22T08:10:45.000Z
53,40,59,18,77.5884723,12.9939856,2018-01-22T08:10:48.000Z
53,40,59,18,77.5884723,12.9939856,2018-01-22T08:10:51.000Z
