pm25,pm1,pm10,battery,longitude,latitude,timestamp
39,29,43,18,77.6027713,12.9756531,2018-01-18T11:00:58.000Z
39,29,43,18,77.6027713,12.9756531,2018-01-18T11:01:01.000Z
39,29,43,18,77.6027713,12.9756531,2018-01-18T11:01:05.000Z
39,29,43,18,77.6027663,12.9756568,2018-01-18T11:01:08.000Z
39,29,43,18,77.6027663,12.9756568,2018-01-18T11:01:11.000Z
39,29,43,18,77.6027663,12.9756568,2018-01-18T11:01:15.000Z
39,29,43,18,77.6027663,12.9756568,2018-01-18T11:01:18.000Z
39,29,43,18,77.6027663,12.9756568,2018-01-18T11:01:21.000Z
40,30,44,18,77.6027732,12.9756531,2018-01-18T11:01:26.000Z
41,31,45,18,77.6027732,12.9756531,2018-01-18T11:01:28.000Z
42,31,47,18,77.6027732,12.9756531,2018-01-18T11:01:32.000Z
42,31,47,18,77.6027732,12.9756531,2018-01-18T11:01:35.000Z
43,32,48,18,77.6027552,12.9756663,2018-01-18T11:01:38.000Z
43,32,48,18,77.6027552,12.9756663,2018-01-18T11:01:42.000Z
43,32,48,18,77.6027552,12.9756663,2018-01-18T11:01:45.000Z
43,32,48,18,77.6027552,12.9756663,2018-01-18T11:01:48.000Z
43,32,48,18,77.6027552,12.9756663,2018-01-18T11:01:52.000Z
44,33,49,18,77.602772,12.9756564,2018-01-18T11:01:55.000Z
44,33,49,18,77.602772,12.9756564,2018-01-18T11:01:59.000Z
46,34,51,18,77.602772,12.9756564,2018-01-18T11:02:02.000Z
46,34,51,18,77.602772,12.9756564,2018-01-18T11:02:05.000Z
46,34,51,18,77.602765,12.9756548,2018-01-18T11:02:09.000Z
47,35,52,18,77.602765,12.9756548,2018-01-18T11:02:12.000Z
49,37,54,18,77.602765,12.9756548,2018-01-18T11:02:15.000Z
51,38,57,18,77.602765,12.9756548,2018-01-18T11:02:19.000Z
51,38,57,18,77.602765,12.9756548,2018-01-18T11:02:22.000Z
52,39,58,18,77.6027683,12.9756569,2018-01-18T11:02:26.000Z
52,39,58,18,77.6027683,12.9756569,2018-01-18T11:02:30.000Z
51,38,57,18,77.6027683,12.9756569,2018-01-18T11:02:33.000Z
49,37,54,18,77.6027722,12.9756519,2018-01-18T11:02:40.000Z
48,36,53,18,77.6027722,12.9756519,2018-01-18T11:02:44.000Z
47,35,52,18,77.6027722,12.9756519,2018-01-18T11:02:47.000Z
46,34,51,18,77.6027722,12.9756519,2018-01-18T11:02:50.000Z
45,34,50,18,77.6027722,12.9756519,2018-01-18T11:02:54.000Z
44,33,49,18,77.6027722,12.975652,2018-01-18T11:02:57.000Z
43,32,48,18,77.6027722,12.975652,2018-01-18T11:03:00.000Z
43,32,48,18,77.6027722,12.975652,2018-01-18T11:03:04.000Z
43,32,48,18,77.6027722,12.975652,2018-01-18T11:03:07.000Z
43,32,48,18,77.6027728,12.9756526,2018-01-18T11:03:11.000Z
44,33,49,18,77.6027728,12.9756526,2018-01-18T11:03:14.000Z
44,33,49,18,77.6027032,12.9757398,2018-01-18T11:03:42.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:57:33.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:57:36.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:57:33.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:57:36.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:57:39.000Z
56,42,62,18,77.5854037,12.9920037,2018-01-23T07:57:43.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T07:57:46.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T07:57:50.000Z
60,45,67,18,77.5854037,12.9920037,2018-01-23T07:57:53.000Z
61,46,68,18,77.5854037,12.9920037,2018-01-23T07:57:56.000Z
62,47,69,18,77.5854037,12.9920037,2018-01-23T07:58:00.000Z
62,47,69,18,77.5854037,12.9920037,2018-01-23T07:58:03.000Z
63,47,70,18,77.5854037,12.9920037,2018-01-23T07:58:06.000Z
63,47,70,18,77.5854037,12.9920037,2018-01-23T07:58:11.000Z
63,47,70,18,77.5854037,12.9920037,2018-01-23T07:58:13.000Z
61,46,68,18,77.5854037,12.9920037,2018-01-23T07:58:17.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T07:58:20.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T07:58:23.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T07:58:27.000Z
56,42,62,18,77.5854037,12.9920037,2018-01-23T07:58:30.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:58:33.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T07:58:37.000Z
54,41,60,18,77.5854037,12.9920037,2018-01-23T07:58:40.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:58:44.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:58:47.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:58:50.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:58:55.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T07:58:58.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T07:59:04.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T07:59:05.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:15.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:18.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:22.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:25.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:32.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T07:59:35.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T07:59:39.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T07:59:42.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:45.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T07:59:49.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T07:59:52.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T07:59:56.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T07:59:59.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T08:00:03.000Z
51,38,57,18,77.5854037,12.9920037,2018-01-23T08:00:06.000Z
52,39,58,18,77.5854037,12.9920037,2018-01-23T08:00:09.000Z
53,40,59,18,77.5854037,12.9920037,2018-01-23T08:00:12.000Z
54,41,60,18,77.5854037,12.9920037,2018-01-23T08:00:16.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T08:00:19.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T08:00:23.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T08:00:26.000Z
55,41,61,18,77.5854037,12.9920037,2018-01-23T08:00:29.000Z
56,42,62,18,77.5854037,12.9920037,2018-01-23T08:00:33.000Z
56,42,62,18,77.5854037,12.9920037,2018-01-23T08:00:36.000Z
56,42,62,18,77.5854037,12.9920037,2018-01-23T08:00:39.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T08:00:43.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T08:00:46.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T08:00:50.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T08:00:53.000Z
58,44,64,18,77.5854037,12.9920037,2018-01-23T08:00:56.000Z
58,44,64,18,77.5854037,12.9920037,2018-01-23T08:01:00.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T08:01:03.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T08:01:06.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T08:01:10.000Z
59,44,66,18,77.5854037,12.9920037,2018-01-23T08:01:13.000Z
58,44,64,18,77.5854037,12.9920037,2018-01-23T08:01:17.000Z
57,43,63,18,77.5854037,12.9920037,2018-01-23T08:01:20.000Z
