pm25,pm1,pm10,battery,longitude,latitude,timestamp
109,82,122,18,77.5874662,12.9922919,2018-01-22T05:40:52.000Z
0,0,0,0,0,0,1970-01-01T00:00:00.000Z
110,83,123,18,77.5874662,12.9922919,2018-01-22T05:40:55.000Z
110,83,123,18,77.5874651,12.9923001,2018-01-22T05:40:58.000Z
110,83,123,18,77.5874651,12.9923001,2018-01-22T05:41:01.000Z
111,84,124,18,77.5874651,12.9923001,2018-01-22T05:41:05.000Z
112,85,125,18,77.5874651,12.9923001,2018-01-22T05:41:08.000Z
113,85,126,18,77.5874651,12.9923001,2018-01-22T05:41:11.000Z
113,85,126,18,77.5874646,12.992293,2018-01-22T05:41:15.000Z
114,86,127,18,77.5874646,12.992293,2018-01-22T05:41:18.000Z
115,87,128,18,77.5874646,12.992293,2018-01-22T05:41:22.000Z
116,88,129,18,77.5874646,12.992293,2018-01-22T05:41:25.000Z
116,88,129,18,77.5874638,12.9922931,2018-01-22T05:41:28.000Z
116,88,129,18,77.5874638,12.9922931,2018-01-22T05:41:32.000Z
117,88,131,18,77.5874638,12.9922931,2018-01-22T05:41:35.000Z
117,88,131,18,77.5874638,12.9922931,2018-01-22T05:41:38.000Z
117,88,131,18,77.587464,12.9922935,2018-01-22T05:41:42.000Z
117,88,131,18,77.587464,12.9922935,2018-01-22T05:41:45.000Z
118,89,132,18,77.587464,12.9922935,2018-01-22T05:41:49.000Z
118,89,132,18,77.587464,12.9922935,2018-01-22T05:41:52.000Z
0,0,0,0,0,0,1970-01-01T00:00:00.000Z
110,83,123,18,77.5874662,12.9922919,2018-01-22T05:40:55.000Z
110,83,123,18,77.5874651,12.9923001,2018-01-22T05:40:58.000Z
110,83,123,18,77.5874651,12.9923001,2018-01-22T05:41:01.000Z
111,84,124,18,77.5874651,12.9923001,2018-01-22T05:41:05.000Z
112,85,125,18,77.5874651,12.9923001,2018-01-22T05:41:08.000Z
113,85,126,18,77.5874651,12.9923001,2018-01-22T05:41:11.000Z
113,85,126,18,77.5874646,12.992293,2018-01-22T05:41:15.000Z
114,86,127,18,77.5874646,12.992293,2018-01-22T05:41:18.000Z
115,87,128,18,77.5874646,12.992293,2018-01-22T05:41:22.000Z
116,88,129,18,77.5874646,12.992293,2018-01-22T05:41:25.000Z
116,88,129,18,77.5874638,12.9922931,2018-01-22T05:41:28.000Z
116,88,129,18,77.5874638,12.9922931,2018-01-22T05:41:32.000Z
117,88,131,18,77.5874638,12.9922931,2018-01-22T05:41:35.000Z
117,88,131,18,77.5874638,12.9922931,2018-01-22T05:41:38.000Z
117,88,131,18,77.587464,12.9922935,2018-01-22T05:41:42.000Z
117,88,131,18,77.587464,12.9922935,2018-01-22T05:41:45.000Z
118,89,132,18,77.587464,12.9922935,2018-01-22T05:41:49.000Z
118,89,132,18,77.587464,12.9922935,2018-01-22T05:41:52.000Z
118,89,132,18,77.587464,12.9922935,2018-01-22T05:41:55.000Z
118,89,132,18,77.5874652,12.9922928,2018-01-22T05:41:59.000Z
118,89,132,18,77.5874652,12.9922928,2018-01-22T05:42:02.000Z
117,88,131,18,77.5874652,12.9922928,2018-01-22T05:42:05.000Z
116,88,129,18,77.5874652,12.9922928,2018-01-22T05:42:09.000Z
116,88,129,18,77.5874652,12.9922928,2018-01-22T05:42:12.000Z
115,87,128,18,77.5874651,12.9922929,2018-01-22T05:42:16.000Z
114,86,127,18,77.5874651,12.9922929,2018-01-22T05:42:19.000Z
114,86,127,18,77.5874651,12.9922929,2018-01-22T05:42:22.000Z
113,85,126,18,77.5874651,12.9922929,2018-01-22T05:42:26.000Z
113,85,126,18,77.5874642,12.992293,2018-01-22T05:42:29.000Z
113,85,126,18,77.5874642,12.992293,2018-01-22T05:42:32.000Z
113,85,126,18,77.5874642,12.992293,2018-01-22T05:42:36.000Z
113,85,126,18,77.5874642,12.992293,2018-01-22T05:42:39.000Z
113,85,126,18,77.5874642,12.992293,2018-01-22T05:42:43.000Z
113,85,126,18,77.5874725,12.9922896,2018-01-22T05:42:46.000Z
113,85,126,18,77.5874725,12.9922896,2018-01-22T05:42:49.000Z
