pm25,pm1,pm10,battery,longitude,latitude,timestamp
64,48,71,18,77.5880343,12.9928171,2018-01-23T07:36:47.000Z
63,47,70,18,77.5880489,12.9928105,2018-01-23T07:36:50.000Z
62,47,69,18,77.5880489,12.9928105,2018-01-23T07:36:54.000Z
62,47,69,18,77.5880489,12.9928105,2018-01-23T07:36:57.000Z
62,47,69,18,77.5880489,12.9928105,2018-01-23T07:37:00.000Z
62,47,69,18,77.5880489,12.9928105,2018-01-23T07:37:04.000Z
63,47,70,18,77.5880489,12.9928105,2018-01-23T07:37:07.000Z
63,47,70,18,77.5880489,12.9928105,2018-01-23T07:37:10.000Z
63,47,70,18,77.5880489,12.9928105,2018-01-23T07:37:14.000Z
62,47,69,18,77.5880489,12.9928105,2018-01-23T07:37:17.000Z
62,47,69,18,77.5881656,12.9928866,2018-01-23T07:37:21.000Z
61,46,68,18,77.5881656,12.9928866,2018-01-23T07:37:24.000Z
60,45,67,18,77.5881656,12.9928866,2018-01-23T07:37:27.000Z
60,45,67,18,77.5881656,12.9928866,2018-01-23T07:37:31.000Z
59,44,66,18,77.5881656,12.9928866,2018-01-23T07:37:34.000Z
57,43,63,18,77.5881853,12.9928313,2018-01-23T07:37:37.000Z
56,42,62,18,77.5881853,12.9928313,2018-01-23T07:37:41.000Z
56,42,62,18,77.5881853,12.9928313,2018-01-23T07:37:44.000Z
56,42,62,18,77.5881853,12.9928313,2018-01-23T07:37:48.000Z
56,42,62,18,77.5881534,12.9928156,2018-01-23T07:37:52.000Z
57,43,63,18,77.5881534,12.9928156,2018-01-23T07:37:54.000Z
58,44,64,18,77.5881534,12.9928156,2018-01-23T07:37:58.000Z
59,44,66,18,77.5881534,12.9928156,2018-01-23T07:38:01.000Z
59,44,66,18,77.588148,12.9928164,2018-01-23T07:38:04.000Z
59,44,66,18,77.588148,12.9928164,2018-01-23T07:38:08.000Z
58,44,64,18,77.588148,12.9928164,2018-01-23T07:38:11.000Z
58,44,64,18,77.588148,12.9928164,2018-01-23T07:38:15.000Z
59,44,66,18,77.588148,12.9928164,2018-01-23T07:38:18.000Z
59,44,66,18,77.5881475,12.9928093,2018-01-23T07:38:22.000Z
59,44,66,18,77.5881475,12.9928093,2018-01-23T07:38:24.000Z
59,44,66,18,77.5881475,12.9928093,2018-01-23T07:38:28.000Z
59,44,66,18,77.5881475,12.9928093,2018-01-23T07:38:31.000Z
58,44,64,18,77.5881489,12.9928721,2018-01-23T07:38:35.000Z
58,44,64,18,77.5881489,12.9928721,2018-01-23T07:38:38.000Z
58,44,64,18,77.5881489,12.9928721,2018-01-23T07:38:41.000Z
58,44,64,18,77.5881489,12.9928721,2018-01-23T07:38:45.000Z
58,44,64,18,77.5881489,12.9928721,2018-01-23T07:38:48.000Z
58,44,64,18,77.5882094,12.9928368,2018-01-23T07:38:51.000Z
58,44,64,18,77.5882094,12.9928368,2018-01-23T07:38:55.000Z
58,44,64,18,77.5882094,12.9928368,2018-01-23T07:38:58.000Z
58,44,64,18,77.5882094,12.9928368,2018-01-23T07:39:02.000Z
57,43,63,18,77.5881594,12.992894,2018-01-23T07:39:06.000Z
56,42,62,18,77.5881594,12.992894,2018-01-23T07:39:09.000Z
56,42,62,18,77.5881594,12.992894,2018-01-23T07:39:13.000Z
54,41,60,18,77.5881682,12.9928777,2018-01-23T07:39:21.000Z
53,40,59,18,77.5881682,12.9928777,2018-01-23T07:39:23.000Z
53,40,59,18,77.5881682,12.9928777,2018-01-23T07:39:26.000Z
52,39,58,18,77.5881682,12.9928777,2018-01-23T07:39:30.000Z
52,39,58,18,77.5881682,12.9928777,2018-01-23T07:39:33.000Z
51,38,57,18,77.5882324,12.9928402,2018-01-23T07:39:36.000Z
52,39,58,18,77.5882324,12.9928402,2018-01-23T07:39:40.000Z
52,39,58,18,77.5882324,12.9928402,2018-01-23T07:39:43.000Z
52,39,58,18,77.5882324,12.9928402,2018-01-23T07:39:47.000Z
52,39,58,18,77.5882315,12.9928526,2018-01-23T07:39:50.000Z
52,39,58,18,77.5882315,12.9928526,2018-01-23T07:39:53.000Z
53,40,59,18,77.5882315,12.9928526,2018-01-23T07:39:57.000Z
53,40,59,18,77.5882315,12.9928526,2018-01-23T07:40:00.000Z
54,41,60,18,77.5882315,12.9928526,2018-01-23T07:40:03.000Z
55,41,61,18,77.5881856,12.9928709,2018-01-23T07:40:07.000Z
55,41,61,18,77.5881856,12.9928709,2018-01-23T07:40:10.000Z
55,41,61,18,77.5881856,12.9928709,2018-01-23T07:40:14.000Z
56,42,62,18,77.5881856,12.9928709,2018-01-23T07:40:17.000Z
56,42,62,18,77.5881856,12.9928709,2018-01-23T07:40:20.000Z
57,43,63,18,77.5881856,12.9928709,2018-01-23T07:40:24.000Z
56,42,62,18,77.5881856,12.9928709,2018-01-23T07:40:27.000Z
56,42,62,18,77.5881856,12.9928709,2018-01-23T07:40:30.000Z
55,41,61,18,77.5881856,12.9928709,2018-01-23T07:40:34.000Z
54,41,60,18,77.5881907,12.9928076,2018-01-23T07:40:37.000Z
53,40,59,18,77.5881907,12.9928076,2018-01-23T07:40:41.000Z
52,39,58,18,77.5881907,12.9928076,2018-01-23T07:40:47.000Z
51,38,57,18,77.5881122,12.9928644,2018-01-23T07:40:51.000Z
51,38,57,18,77.5881122,12.9928644,2018-01-23T07:40:54.000Z
51,38,57,18,77.5881122,12.9928644,2018-01-23T07:40:57.000Z
51,38,57,18,77.5881122,12.9928644,2018-01-23T07:41:01.000Z
51,38,57,18,77.5881122,12.9928644,2018-01-23T07:41:04.000Z
51,38,57,18,77.5881745,12.9928797,2018-01-23T07:41:08.000Z
52,39,58,18,77.5881745,12.9928797,2018-01-23T07:41:11.000Z
53,40,59,18,77.5881745,12.9928797,2018-01-23T07:41:14.000Z
53,40,59,18,77.5881745,12.9928797,2018-01-23T07:41:18.000Z
54,41,60,18,77.5881732,12.9928148,2018-01-23T07:41:21.000Z
53,40,59,18,77.5881732,12.9928148,2018-01-23T07:41:24.000Z
53,40,59,18,77.5881732,12.9928148,2018-01-23T07:41:28.000Z
53,40,59,18,77.5881732,12.9928148,2018-01-23T07:41:31.000Z
53,40,59,18,77.5881732,12.9928148,2018-01-23T07:41:35.000Z
53,40,59,18,77.588172,12.99281,2018-01-23T07:41:38.000Z
52,39,58,18,77.588172,12.99281,2018-01-23T07:41:41.000Z
52,39,58,18,77.588172,12.99281,2018-01-23T07:41:45.000Z
52,39,58,18,77.588172,12.99281,2018-01-23T07:41:48.000Z
52,39,58,18,77.588167,12.9928135,2018-01-23T07:41:51.000Z
53,40,59,18,77.5882153,12.9928408,2018-01-23T07:42:57.000Z
53,40,59,18,77.5882153,12.9928408,2018-01-23T07:43:00.000Z
53,40,59,18,77.5882153,12.9928408,2018-01-23T07:43:03.000Z
53,40,59,18,77.5881871,12.99287,2018-01-23T07:43:07.000Z
53,40,59,18,77.5881871,12.99287,2018-01-23T07:43:11.000Z
52,39,58,18,77.5881871,12.99287,2018-01-23T07:43:14.000Z
53,40,59,18,77.5881871,12.99287,2018-01-23T07:43:17.000Z
53,40,59,18,77.5881871,12.99287,2018-01-23T07:43:20.000Z
53,40,59,18,77.588167,12.9928054,2018-01-23T07:43:24.000Z
52,39,58,18,77.588167,12.9928054,2018-01-23T07:43:27.000Z
52,39,58,18,77.588167,12.9928054,2018-01-23T07:43:30.000Z
52,39,58,18,77.588167,12.9928054,2018-01-23T07:43:34.000Z
52,39,58,18,77.588167,12.9928054,2018-01-23T07:43:37.000Z
53,40,59,18,77.588167,12.9928054,2018-01-23T07:43:41.000Z
54,41,60,18,77.588167,12.9928054,2018-01-23T07:43:44.000Z
55,41,61,18,77.588167,12.9928054,2018-01-23T07:43:47.000Z
55,41,61,18,77.5881575,12.9927509,2018-01-23T07:43:51.000Z
55,41,61,18,77.5881575,12.9927509,2018-01-23T07:43:54.000Z
55,41,61,18,77.5881575,12.9927509,2018-01-23T07:43:57.000Z
55,41,61,18,77.5881575,12.9927509,2018-01-23T07:44:01.000Z
55,41,61,18,77.5881575,12.9927509,2018-01-23T07:44:04.000Z
55,41,61,18,77.5881024,12.992852,2018-01-23T07:44:08.000Z
54,41,60,18,77.5881024,12.992852,2018-01-23T07:44:11.000Z
53,40,59,18,77.5881024,12.992852,2018-01-23T07:44:14.000Z
53,40,59,18,77.5881024,12.992852,2018-01-23T07:44:18.000Z
53,40,59,18,77.5881094,12.9928684,2018-01-23T07:44:21.000Z
53,40,59,18,77.5881094,12.9928684,2018-01-23T07:44:24.000Z
52,39,58,18,77.5881094,12.9928684,2018-01-23T07:44:28.000Z
52,39,58,18,77.5881094,12.9928684,2018-01-23T07:44:31.000Z
51,38,57,18,77.5881094,12.9928684,2018-01-23T07:44:35.000Z
51,38,57,18,77.5881024,12.992852,2018-01-23T07:44:38.000Z
51,38,57,18,77.5881024,12.992852,2018-01-23T07:44:41.000Z
52,39,58,18,77.5881024,12.992852,2018-01-23T07:44:45.000Z
52,39,58,18,77.5881024,12.992852,2018-01-23T07:44:48.000Z
52,39,58,18,77.5881024,12.992852,2018-01-23T07:44:51.000Z
52,39,58,18,77.5881124,12.9928649,2018-01-23T07:44:55.000Z
52,39,58,18,77.5881124,12.9928649,2018-01-23T07:44:58.000Z
52,39,58,18,77.5881124,12.9928649,2018-01-23T07:45:02.000Z
53,40,59,18,77.5881124,12.9928649,2018-01-23T07:45:05.000Z
53,40,59,18,77.5881122,12.9928642,2018-01-23T07:45:08.000Z
53,40,59,18,77.5881122,12.9928642,2018-01-23T07:45:12.000Z
52,39,58,18,77.5881122,12.9928642,2018-01-23T07:45:15.000Z
52,39,58,18,77.5881122,12.9928642,2018-01-23T07:45:20.000Z
51,38,57,18,77.5881118,12.9928647,2018-01-23T07:45:23.000Z
49,37,54,18,77.5881118,12.9928647,2018-01-23T07:45:33.000Z
49,37,54,18,77.5881119,12.9928645,2018-01-23T07:45:36.000Z
49,37,54,18,77.5881119,12.9928645,2018-01-23T07:45:41.000Z
49,37,54,18,77.5881119,12.9928645,2018-01-23T07:45:43.000Z
49,37,54,18,77.5881119,12.9928645,2018-01-23T07:45:47.000Z
49,37,54,18,77.5881119,12.9928645,2018-01-23T07:45:50.000Z
50,38,56,18,77.5881193,12.9928572,2018-01-23T07:45:53.000Z
50,38,56,18,77.5881193,12.9928572,2018-01-23T07:45:57.000Z
50,38,56,18,77.5881193,12.9928572,2018-01-23T07:46:00.000Z
50,38,56,18,77.5881193,12.9928572,2018-01-23T07:46:03.000Z
50,38,56,18,77.5881118,12.9928638,2018-01-23T07:46:07.000Z
50,38,56,18,77.5881118,12.9928638,2018-01-23T07:46:10.000Z
49,37,54,18,77.5881118,12.9928638,2018-01-23T07:46:14.000Z
49,37,54,18,77.5881118,12.9928638,2018-01-23T07:46:17.000Z
49,37,54,18,77.5881118,12.9928638,2018-01-23T07:46:20.000Z
48,36,53,18,77.5881053,12.9928622,2018-01-23T07:46:24.000Z
48,36,53,18,77.5881053,12.9928622,2018-01-23T07:46:27.000Z
48,36,53,18,77.5881053,12.9928622,2018-01-23T07:46:30.000Z
49,37,54,18,77.5881053,12.9928622,2018-01-23T07:46:34.000Z
49,37,54,18,77.5881046,12.9928651,2018-01-23T07:46:37.000Z
50,38,56,18,77.5881046,12.9928651,2018-01-23T07:46:41.000Z
50,38,56,18,77.5881046,12.9928651,2018-01-23T07:46:47.000Z
51,38,57,18,77.5881191,12.9928654,2018-01-23T07:46:51.000Z
51,38,57,18,77.5881191,12.9928654,2018-01-23T07:46:54.000Z
52,39,58,18,77.5881191,12.9928654,2018-01-23T07:46:57.000Z
53,40,59,18,77.5881191,12.9928654,2018-01-23T07:47:01.000Z
52,39,58,18,77.5881191,12.9928654,2018-01-23T07:47:04.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:08.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:11.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:14.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:18.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:22.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:24.000Z
52,39,58,18,77.588269,12.9935548,2018-01-23T07:47:28.000Z
51,38,57,18,77.588269,12.9935548,2018-01-23T07:47:31.000Z
51,38,57,18,77.588269,12.9935548,2018-01-23T07:47:35.000Z
52,39,58,18,77.5881433,12.9928706,2018-01-23T07:47:38.000Z
53,40,59,18,77.5881433,12.9928706,2018-01-23T07:47:41.000Z
54,41,60,18,77.5881433,12.9928706,2018-01-23T07:47:45.000Z
55,41,61,18,77.5881433,12.9928706,2018-01-23T07:47:48.000Z
56,42,62,18,77.5881094,12.9928684,2018-01-23T07:47:51.000Z
56,42,62,18,77.5881094,12.9928684,2018-01-23T07:47:55.000Z
56,42,62,18,77.5881094,12.9928684,2018-01-23T07:47:58.000Z
56,42,62,18,77.5881094,12.9928684,2018-01-23T07:48:02.000Z
56,42,62,18,77.5881094,12.9928684,2018-01-23T07:48:05.000Z
55,41,61,18,77.5881094,12.9928684,2018-01-23T07:48:08.000Z
55,41,61,18,77.5881094,12.9928684,2018-01-23T07:48:12.000Z
53,40,59,18,77.5881094,12.9928684,2018-01-23T07:48:15.000Z
52,39,58,18,77.5881094,12.9928684,2018-01-23T07:48:18.000Z
51,38,57,18,77.588105,12.9928874,2018-01-23T07:48:23.000Z
49,37,54,18,77.588105,12.9928874,2018-01-23T07:48:26.000Z
47,35,52,18,77.588105,12.9928874,2018-01-23T07:48:33.000Z
47,35,52,18,77.5881045,12.9928686,2018-01-23T07:48:36.000Z
47,35,52,18,77.5881045,12.9928686,2018-01-23T07:48:40.000Z
46,34,51,18,77.5881045,12.9928686,2018-01-23T07:48:44.000Z
46,34,51,18,77.5881045,12.9928686,2018-01-23T07:48:47.000Z
46,34,51,18,77.5881045,12.9928686,2018-01-23T07:48:50.000Z
46,34,51,18,77.5881064,12.9928611,2018-01-23T07:48:53.000Z
47,35,52,18,77.5881064,12.9928611,2018-01-23T07:48:57.000Z
47,35,52,18,77.5881064,12.9928611,2018-01-23T07:49:00.000Z
48,36,53,18,77.5881064,12.9928611,2018-01-23T07:49:03.000Z
49,37,54,18,77.5881063,12.992861,2018-01-23T07:49:07.000Z
49,37,54,18,77.5881063,12.992861,2018-01-23T07:49:10.000Z
